,,,,,,,
,게임 이름,"구글 매출
순위","애플 스토어
매출순위","구글 무료
순위","애플 스토어
순위",,
,포코포코,483,,,,,
,포코팡,,,,,,
,애니팡,381,,379,,,
,애니팡 터치,285,,,,,
,애니팡 사천성,166,245,526,,,
,상하이 애니팡,137,,,,,
,애니팡2,84,,423,,,
,애니팡3,54,95,203,287,,
,캔디크러쉬사가,80,86,161,140,,
,캔디크러쉬소다,108,107,255,,미국구글매출 : 16,
,캔디크러쉬젤리,376,291,,,미국구글매출 : 120,미국애플매출 : 121
